,WMO,PROF,JULD,LON,LAT,PRES,PRES_ERROR,TEMP,TEMP_ERROR,PSAL,PSAL_ERROR,DOXY,DOXY_ERROR,DEPTH,SIGMA0,THETA0,DOY,DOY_SIN,DOY_COS,YEAR,BATH
252,6903549,19,2019-10-12 11:16:00.000000000,-4.865553333333334,68.44149833333333,221.10000610351562,2.4000000953674316,4.184999942779541,0.0020000000949949026,34.946998596191406,0.009999999776482582,287.05938720703125,16.02660369873047,218.76518675971684,1027.7280359425013,4.169050582145023,285,-0.981947190186646,0.18915526872004093,2019,3512.0
253,6903549,19,2019-10-12 11:16:00.000000000,-4.865553333333334,68.44149833333333,223.0,2.4000000953674316,4.139999866485596,0.0020000000949949026,34.95100021362305,0.009999999776482582,288.0007019042969,16.037939071655273,220.64410285073345,1027.7360163827232,4.123988631355218,285,-0.981947190186646,0.18915526872004093,2019,3512.0
254,6903549,19,2019-10-12 11:16:00.000000000,-4.865553333333334,68.44149833333333,289.0,2.4000000953674316,3.5169999599456787,0.0020000000949949026,34.95399856567383,0.009999999776482582,288.4209289550781,16.16657257080078,285.9012327012046,1027.8026434323144,3.497542086467722,285,-0.981947190186646,0.18915526872004093,2019,3512.0
255,6903549,19,2019-10-12 11:16:00.000000000,-4.865553333333334,68.44149833333333,411.0,2.4000000953674316,1.4559999704360962,0.0020000000949949026,34.922000885009766,0.009999999776482582,287.1896057128906,16.783893585205078,406.4734362808986,1027.9544974004184,1.4348901634163125,285,-0.981947190186646,0.18915526872004093,2019,3512.0
256,6903549,19,2019-10-12 11:16:00.000000000,-4.865553333333334,68.44149833333333,516.9000244140625,2.4000000953674316,0.4970000088214874,0.0020000000949949026,34.90800094604492,0.009999999776482582,291.9464111328125,17.002073287963867,511.07679372061347,1028.0074757272566,0.47417192317439566,285,-0.981947190186646,0.18915526872004093,2019,3512.0
257,6903549,19,2019-10-12 11:16:00.000000000,-4.865553333333334,68.44149833333333,640.9000244140625,2.4000000953674316,0.028999999165534973,0.0020000000949949026,34.89699935913086,0.009999999776482582,304.41888427734375,16.985050201416016,633.491077313349,1028.0257720445286,0.0025582499974161816,285,-0.981947190186646,0.18915526872004093,2019,3512.0
258,6903549,19,2019-10-12 11:16:00.000000000,-4.865553333333334,68.44149833333333,689.0,2.4000000953674316,-0.010999999940395355,0.0020000000949949026,34.902000427246094,0.009999999776482582,300.73455810546875,16.916982650756836,680.9564248271201,1028.0321245603463,-0.03949675390416423,285,-0.981947190186646,0.18915526872004093,2019,3512.0
259,6903549,19,2019-10-12 11:16:00.000000000,-4.865553333333334,68.44149833333333,931.0,2.4000000953674316,-0.28700000047683716,0.0020000000949949026,34.90700149536133,0.009999999776482582,294.234375,16.61172103881836,919.5986183285519,1028.05122765027,-0.3253603721327793,285,-0.981947190186646,0.18915526872004093,2019,3512.0
260,6903549,19,2019-10-12 11:16:00.000000000,-4.865553333333334,68.44149833333333,1127.5999755859375,2.4000000953674316,-0.4449999928474426,0.0020000000949949026,34.90599822998047,0.009999999776482582,294.0900573730469,16.33924674987793,1113.269228991795,1028.0587198327366,-0.491951464976528,285,-0.981947190186646,0.18915526872004093,2019,3512.0
261,6903549,19,2019-10-12 11:16:00.000000000,-4.865553333333334,68.44149833333333,1752.5,2.4000000953674316,-0.7080000042915344,0.0020000000949949026,34.90599822998047,0.009999999776482582,286.7186584472656,15.402130126953125,1727.6716491250825,1028.0725543425888,-0.7869325104305119,285,-0.981947190186646,0.18915526872004093,2019,3512.0
